TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
Patinoire à bandes mobiles,NA,NA,Gazon,NA,307,-8009237.70818534,5682850.82641513
"Surface, anneau ou étang glacé",NA,NA,NA,NA,308,-8009240.09693547,5682789.31848004
Pétanque,NA,NA,NA,NA,309,-8003048.67694911,5680685.20710994
Jeu d'eau,NA,NA,NA,NA,310,-8003006.57832917,5680715.5596424
Préau et plancher de danse,NA,NA,NA,NA,311,-8003051.7247308,5680716.96137961
Patinoire à bandes mobiles,NA,NA,Poussière,NA,312,-8014236.91965432,5674211.03364389
Patinoire à bandes mobiles,NA,NA,Poussière,NA,313,-8014284.91859333,5674207.05292511
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,314,-8014275.31733029,5674231.83530402
Planche à roulettes,NA,NA,NA,NA,315,-8019255.38596616,5676038.08959624
Pétanque,NA,NA,NA,NA,316,-8019369.88201725,5676028.10561897
Plage,NA,NA,NA,NA,317,-8017766.85876133,5674391.01211796
"Surface, anneau ou étang glacé",NA,NA,NA,NA,318,-8014996.45890703,5677757.90526061
Patinoire à bandes fixes,NA,NA,Asphalte,NA,319,-8015004.30246659,5677640.80344372
Jeu de galets,NA,NA,NA,NA,320,-8015054.74317938,5677741.63396305
Préau et plancher de danse,NA,NA,NA,NA,321,-8015854.71297692,5684524.56603315
"Surface, anneau ou étang glacé",NA,NA,NA,NA,322,-8015790.96464022,5684562.74234822
Piste multifonctionnelle,NA,NA,NA,NA,323,-8000666.56147385,5683570.94013221
Planche à roulettes,NA,NA,NA,NA,324,-7998597.7063646,5679604.1454403
Pétanque,NA,NA,NA,NA,325,-8002633.38159301,5685765.40996962
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,326,-8002647.9710839,5685769.05570324
Jeu de galets,NA,NA,NA,NA,327,-8000302.54711232,5685437.59949629
Planche à roulettes,NA,NA,NA,NA,328,-7998256.89714071,5685746.78378267
Pétanque,NA,NA,Poussière,NA,329,-8001004.46572524,5686752.37160399
Jeu de galets,NA,NA,NA,NA,330,-8001091.55976074,5686816.59963603
Préau et plancher de danse,NA,NA,NA,NA,331,-8002745.89329822,5687187.68592132
Pétanque,NA,NA,NA,NA,332,-8002741.42742219,5687151.32681071
Jeu de galets,NA,NA,NA,NA,333,-8002704.98844214,5687147.04294777
Jeu de galets,NA,NA,NA,NA,334,-8002790.62271846,5687231.13633696
Jeu de galets,NA,NA,NA,NA,335,-8002820.41491519,5687226.70622831
Planche à roulettes,NA,NA,NA,NA,336,-8008836.58498693,5681675.61490378
Planche à roulettes,NA,NA,NA,NA,337,-8001637.31392112,5683963.25979646
Jeu de galets,NA,NA,NA,NA,338,-7999860.25267053,5688700.07414368
Glissade sur tube,NA,NA,NA,NA,339,-8004817.40659157,5682089.17526738
Glissade sur tube,NA,NA,NA,NA,340,-8014031.58993403,5674090.19514315
Jeu de galets,NA,NA,NA,NA,341,-8005466.42027918,5686957.13864673
Pétanque,NA,NA,NA,NA,342,-8005494.64829234,5686966.24554298
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,343,-8010260.85047644,5686768.44551134
Patinoire à bandes mobiles,NA,NA,Poussière,NA,344,-8010281.84435205,5686770.43616401
Piste multifonctionnelle,NA,NA,NA,NA,345,-8003961.5134037,5685614.92693183
"Surface, anneau ou étang glacé",NA,NA,NA,NA,346,-8009365.94945737,5686352.39859072
Piste multifonctionnelle,NA,NA,NA,NA,347,-8009372.21658267,5686350.59355304
Jeu d'eau,NA,NA,NA,NA,348,-8007966.56656696,5684635.88133722
Planche à roulettes,NA,NA,NA,NA,349,-8013124.52186686,5681566.17346159
Préau et plancher de danse,NA,NA,NA,NA,350,-7999495.18050774,5679840.83631766
Préau et plancher de danse,NA,NA,NA,NA,351,-7998821.47018792,5689640.06949892
"Surface, anneau ou étang glacé",NA,NA,NA,NA,352,-7999318.97248589,5679940.11625297
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,353,-8005578.11576056,5687189.3710078
Piste multifonctionnelle,NA,NA,NA,NA,354,-8006688.02836965,5684858.72093719
Planche à roulettes,NA,NA,NA,NA,355,-8006639.51794736,5685084.71883532
Préau et plancher de danse,NA,NA,NA,NA,356,-8006675.44454788,5685157.82161741
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,357,-8010662.35439756,5679063.0567618
Patinoire à bandes mobiles,NA,NA,Gazon,NA,358,-8010647.79307922,5679041.34550718
"Surface, anneau ou étang glacé",NA,NA,NA,NA,359,-8004360.80803238,5682807.99722173
Patinoire à bandes mobiles,NA,NA,Gazon,NA,360,-8004416.84066461,5682854.6868222
"Surface, anneau ou étang glacé",NA,NA,NA,NA,361,-8002822.28355818,5680665.96158138
Patinoire à bandes mobiles,NA,NA,Poussière,NA,362,-8000533.66896268,5683677.19203669
"Surface, anneau ou étang glacé",NA,NA,NA,NA,363,-8000056.07105125,5684971.78414908
Patinoire à bandes mobiles,NA,NA,NA,NA,364,-7998337.81873312,5685726.2816093
"Surface, anneau ou étang glacé",NA,NA,NA,NA,365,-7998368.07169579,5685785.3916678
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,366,-7999720.38592672,5687306.87387796
Patinoire à bandes mobiles,NA,NA,Poussière,NA,367,-7999646.8236613,5687292.73700861
"Surface, anneau ou étang glacé",NA,NA,NA,NA,368,-7999826.84804773,5688639.47995078
Patinoire à bandes mobiles,NA,NA,Poussière,NA,369,-7999866.21289819,5688621.96973175
Patinoire à bandes fixes,NA,NA,Asphalte,NA,370,-8001430.11050655,5688779.55453037
Patinoire à bandes mobiles,NA,NA,Gazon,NA,371,-8005601.26761047,5687068.35532827
Patinoire à bandes fixes,NA,NA,Asphalte,NA,372,-8005518.26005668,5687121.67914718
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,373,-8003172.86913612,5689606.09233555
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,374,-8005750.68786265,5692954.89963053
Patinoire à bandes mobiles,NA,NA,Poussière,NA,375,-8005747.77389056,5692929.51592016
Piste multifonctionnelle,NA,NA,NA,NA,376,-8008397.99056653,5695547.99176354
"Surface, anneau ou étang glacé",NA,NA,NA,NA,377,-8009223.60086016,5697987.75964956
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,378,-8001487.66220605,5688807.06438649
Patinoire à bandes mobiles,NA,NA,Gazon,NA,379,-8001055.53227245,5686730.86932193
Patinoire à bandes mobiles,NA,NA,Gazon,NA,380,-8001100.35372373,5686733.07456444
Patinoire à bandes mobiles,NA,NA,Gazon,NA,381,-8004434.8978366,5682800.77124678
"Surface, anneau ou étang glacé",NA,NA,NA,NA,382,-8013098.57026644,5681615.59311
Patinoire à bandes fixes,NA,NA,Poussière,NA,383,-8012175.64756509,5682422.34923911
Planche à roulettes,NA,NA,NA,NA,384,-8016273.25512768,5683272.22275574
Patinoire à bandes mobiles,NA,NA,Poussière,NA,385,-8019562.12032774,5683650.69296505
"Surface, anneau ou étang glacé",NA,NA,NA,NA,386,-8019597.15363273,5683554.54493844
"Surface, anneau ou étang glacé",NA,NA,NA,NA,387,-8019456.4739159,5675966.3116074
"Surface, anneau ou étang glacé",NA,NA,NA,NA,388,-8004804.7923924,5684979.53043259
"Surface, anneau ou étang glacé",NA,NA,NA,NA,389,-7996475.71346742,5685902.48342757
"Surface, anneau ou étang glacé",NA,NA,NA,NA,390,-8008405.02082432,5695730.63199123
Patinoire à bandes fixes,NA,NA,Asphalte,NA,391,-8008471.1162983,5695746.60685968
Patinoire à bandes fixes,NA,NA,Asphalte,NA,392,-8015817.94268613,5684594.79037614
Jeu d'eau,NA,NA,NA,NA,393,-7999705.71193224,5687304.23748609
Patinoire à bandes mobiles,NA,NA,Poussière,NA,394,-8000045.39961015,5685016.04663657
Patinoire à bandes mobiles,NA,NA,Poussière,NA,395,-8019477.95470895,5676014.22418186
Jeu de fers,NA,NA,NA,NA,396,-8002634.87414395,5685769.45523217
Jeu de fers,NA,NA,NA,NA,397,-7999643.84752433,5687283.96301819
Jeu d'eau,NA,NA,NA,NA,398,-8000048.51014152,5685099.88771508
Pétanque,NA,NA,Poussière,NA,399,-8015046.56616596,5677737.84187628
Pétanque,NA,NA,Poussière,NA,400,-8015066.41289617,5677781.741953
Patinoire à bandes mobiles,NA,NA,Poussière,NA,401,-8009206.84030822,5697940.99357625
Patinoire à bandes fixes,NA,NA,Asphalte,NA,402,-7996482.38832544,5685762.28974744
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,403,-8001112.77530596,5686836.95525908
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,404,-8003172.19602353,5683904.13232011
Patinoire à bandes fixes,NA,NA,Asphalte,NA,405,-8007570.2498781,5682904.29356573
"Surface, anneau ou étang glacé",NA,NA,Poussière,NA,406,-8007571.26202544,5682840.11715815
"Surface, anneau ou étang glacé",NA,NA,NA,NA,407,-8000500.27703395,5683678.81445131
Jeu d'eau,NA,NA,NA,NA,408,-8002557.36583938,5687006.65769774
Patinoire à bandes fixes,NA,NA,Asphalte,NA,409,-8002827.92045129,5680710.17574565
Préau et plancher de danse,NA,NA,NA,NA,410,-8010266.91868387,5686736.42255569
Pétanque,NA,NA,Poussière,NA,411,-8015914.20816075,5684575.16459956
Patinoire à bandes mobiles,NA,NA,Poussière,NA,412,-7998712.41236547,5681061.20369977
"Surface, anneau ou étang glacé",NA,NA,NA,NA,413,-7998747.42603787,5681069.69356596
Piscine,NA,Piscine de la Claire-Fontaine du parc Victoria,NA,NA,414,-8002591.16589029,5687049.80224924
Piscine,NA,Piscine du parc des Optimistes,NA,NA,415,-8001519.23520867,5687256.90758708
Piscine,NA,Piscine du parc de Saint-Alphonse-de-Liguori,NA,NA,416,-8005508.59454816,5687072.64449443
Piscine,NA,Piscine du parc de Ma-Villa,NA,NA,417,-8015851.83999166,5684668.79677061
Piscine,NA,Piscine du parc Central,NA,NA,418,-8014822.15575743,5677469.08687376
Piscine,NA,Piscine du parc de Mi-Vallon,NA,NA,419,-8013121.17359564,5681627.32720315
Piscine,NA,Piscine du parc Centennial,NA,NA,420,-7999434.49961419,5679880.95358218
Piscine,NA,Piscine du parc Alfred-Élie-Dufresne,NA,NA,421,-8003064.11767096,5683983.09990182
Piscine,NA,Piscine Sangster,NA,NA,422,-8004341.51115227,5682738.64668757
Piscine,NA,Piscine du parc Paul-Marin,NA,NA,423,-8007449.36704588,5682870.30675402
Piscine,NA,Piscine Montcalm,NA,NA,424,-8006545.68290663,5685145.77509685
Piscine,NA,Piscine du parc Nault,NA,NA,425,-8008433.04547897,5695798.34158309
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,426,-8001483.0332582,5688767.14796452
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,427,-8005900.33764443,5683864.73680546
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Couturier 1,Gazon naturel,Non,428,-8001487.32235769,5688958.08101954
Soccer,Terrain à 7,André-Viger 1,Gazon naturel,Non,429,-8009363.35006874,5686466.11453303
Baseball,NA,NA,Naturelle,Oui,430,-7998385.35557287,5685751.50883754
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Saint-Alphonse 1,Gazon naturel,Non,431,-8005623.61333228,5687188.39580047
Baseball,NA,NA,Gazon naturel,Non,432,-7999768.08684894,5688619.80073746
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,433,-7999892.52768798,5688709.00366602
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Atto-Beaver 2,Gazon naturel,Oui,434,-7998734.5482528,5680867.97181305
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Central 1,Gazon naturel,Non,435,-8014855.05839903,5677757.9843797
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Nault 1,Gazon naturel,Oui,436,-8008396.79324497,5695646.75793579
Soccer,Terrain à 11 avec 3 terrains à 7 intégrés,Central 3,Gazon naturel,Oui,437,-8015297.44865729,5677558.82833359
Baseball,NA,NA,Gazon naturel,Non,438,-8003965.90796435,5685674.60558343
Baseball,NA,NA,Gazon naturel,Non,439,-8003962.43519893,5685793.20407652
Football,NA,NA,Gazon synthétique,Oui,440,-8001840.33701077,5686577.69930273
Basketball,NA,NA,Asphalte,Non,441,-8000776.40867562,5685710.39829984
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,442,-8000783.59870053,5685666.9215703
Football,NA,NA,Gazon naturel,Non,443,-8003964.89854192,5685733.51454451
Baseball,NA,NA,Naturelle,Oui,444,-7998723.85273403,5689490.90924795
Baseball,NA,NA,Naturelle,Oui,445,-7998900.53342908,5689504.14725122
Soccer,NA,École de la Montée - pavillon le Ber,Gazon naturel,NA,446,-8000081.97849007,5686149.44360801
Soccer,Terrain à 9,Debonair 2,Gazon naturel,Non,447,-8003052.98633751,5689603.76603451
Baseball,NA,NA,Gazon naturel,Oui,448,-8001101.46332725,5686714.30098325
Basketball,NA,NA,Terre battue,Non,449,-8012093.72419617,5682388.99534454
Soccer,NA,Atto-Beaver 3,Gazon naturel,Non,450,-7998679.73756038,5680971.66919429
Volleyball,NA,NA,Sable,Non,451,-8014020.33764415,5674149.30579849
Volleyball,NA,NA,Sable,Oui,452,-8013098.57026644,5681615.59311
Volleyball,NA,NA,Terre battue,NA,453,-7998276.79839232,5685852.79743525
Volleyball,NA,NA,Sable,NA,454,-7998258.44601213,5685843.11197551
Volleyball,NA,NA,Sable,NA,455,-8005598.27117391,5687041.01414362
Volleyball,NA,NA,Sable,Non,456,-7998858.93286473,5681070.91906262
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Butte-aux-Bouleaux 1,Gazon naturel,Non,457,-8021070.45496413,5680170.23015051
Volleyball,NA,NA,Sable,Non,458,-7998854.95906795,5681005.24235047
Volleyball,NA,NA,Sable,Non,459,-7998905.25890115,5681040.9542755
Volleyball,NA,NA,Sable,NA,460,-8017642.95050952,5674434.96762121
Soccer,Terrain à 11,Séminaire Salésien,Gazon naturel,Non,461,-8009622.44740998,5684512.55451636
Soccer,Terrain à 11,Bureau 1,Gazon naturel,Oui,462,-8000656.4927084,5683657.43784711
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Olympique 3,Gazon naturel,Oui,463,-8002251.74318213,5686966.3312363
Baseball,NA,NA,Gazon naturel,Oui,464,-8002354.9863397,5686822.16096338
Soccer,6 terrains à 5,Base de plein air André-Nadeau 1,Gazon naturel,Non,465,-8014045.08357028,5673990.84871793
Soccer,Terrain à 7,Saint-Alphonse 2B,Gazon naturel,Oui,466,-8005405.37642563,5687092.20768263
Tennis,Nombre de court(s) : 2,NA,Asphalte,Oui,467,-8013251.35533017,5681711.77960045
Basketball,NA,NA,Asphalte,Oui,468,-8013092.49674928,5681563.67038482
Baseball,NA,NA,Naturelle,Oui,469,-8019677.24844662,5683711.17711012
Baseball,NA,NA,Gazon naturel,Non,470,-8013207.72572154,5681579.60476568
Baseball,NA,NA,Gazon naturel,Non,471,-8010652.35809257,5696387.96277917
Basketball,NA,NA,Terre battue,Oui,472,-8004336.15697736,5682896.54221269
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,473,-8004443.20859573,5682727.15733726
Basketball,NA,NA,Terre battue,Non,474,-8003346.00144484,5683001.20635284
Basketball,NA,NA,Asphalte,NA,475,-8007892.88974655,5684645.43300313
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,476,-8019306.14835925,5676005.17728906
Tennis,Nombre de court(s) : 3,NA,Synthétique,Oui,477,-8002837.72193629,5680612.25184594
Tennis,Nombre de court(s) : 3,NA,Asphalte,Oui,478,-8010265.01951732,5686694.09658737
Volleyball,NA,NA,Sable,Oui,479,-8009330.30711744,5696649.11839964
Tennis,Nombre de court(s) : 3,NA,Synthétique,Oui,480,-8005401.34205856,5687189.61421491
Basketball,NA,NA,NA,Oui,481,-8003176.10404748,5683930.66686257
Basketball,NA,NA,NA,Oui,482,-8003212.6165719,5683934.47681119
Basketball,NA,NA,Terre battue,Oui,483,-8002545.290069,5682373.75314155
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,484,-8007357.30845108,5682832.66917088
Basketball,NA,NA,NA,NA,485,-8002869.80496919,5680677.57704738
Tennis,Nombre de court(s) :,NA,Asphalte,NA,486,-8002876.80523126,5680655.87035724
Basketball,NA,NA,Terre battue,Oui,487,-8019477.69434336,5676014.63694923
Volleyball,NA,NA,Sable,Oui,488,-8014876.64993164,5677480.81546764
Basketball,NA,NA,Terre battue,Oui,489,-8012176.93408079,5682422.04603422
Ultimate frisbee,NA,NA,Gazon naturel,Oui,490,-8012051.92654831,5680568.99695149
Tennis,Nombre de court(s) : 1,NA,Terre battue,Oui,491,-8012146.31045469,5680590.46128126
Basketball,NA,NA,Terre battue,Oui,492,-8013061.35983639,5683395.6055334
Basketball,NA,NA,Asphalte,NA,493,-8017538.32497578,5670588.90202844
Tennis,Nombre de court(s) : 1,NA,Terre battue,Oui,494,-8017500.7765319,5670580.62202008
Baseball,NA,NA,Gazon naturel,Non,495,-7999771.14103679,5680594.99826466
Basketball,NA,NA,Asphalte,Non,496,-8014953.82480348,5677772.10353102
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,497,-7999358.45917928,5679846.33776165
Pickleball,NA,NA,Asphalte,Oui,498,-8015001.95280809,5677654.78620498
Basketball,NA,NA,Asphalte,Oui,499,-8015790.96464289,5684562.74249083
Basketball,NA,NA,Asphalte,Oui,500,-8002829.20822376,5680666.66620402
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,501,-8015907.68177443,5684612.99675
Baseball,NA,NA,Gazon naturel,Oui,502,-8002720.14326566,5680648.52096013
Soccer,Terrain à 11,Belvédère 1,Gazon naturel,Oui,503,-8002909.21879464,5680506.34766764
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,504,-8003216.2667302,5689609.55098276
Baseball,NA,NA,Naturelle,Non,505,-8002619.8905128,5686832.08659291
Soccer,NA,Jardins-Fleuris 1,Gazon naturel,Non,506,-7999641.85319832,5687203.99026913
Basketball,NA,NA,NA,Oui,507,-8010281.63699716,5686770.74373582
Basketball,NA,NA,NA,NA,508,-8006632.90416746,5685127.17885903
Football,NA,NA,NA,NA,509,-8007684.79064325,5680749.48749301
Soccer,Terrain à 7,Marie-Reine 1,Gazon naturel,Non,510,-8000250.60534911,5682985.53233082
Football,NA,NA,NA,NA,511,-8006582.82916913,5684929.26687201
Baseball,NA,NA,Naturelle,Oui,512,-8000485.61207302,5683801.98572004
Soccer,NA,Bishop's College School Gillards,NA,NA,513,-7997148.66829183,5680269.71411314
Basketball,NA,NA,Asphalte,Oui,514,-8008449.09694454,5695730.9182931
Baseball,NA,NA,Gazon naturel,Oui,515,-8014953.19484211,5677522.02534063
Soccer,NA,Université de Sherbrooke Stade d'athlétisme,NA,NA,516,-8007288.96854312,5680703.27115649
Football,NA,NA,NA,NA,517,-8007230.469547,5680701.97675752
Soccer,NA,Université de Sherbrooke Nouveau Concorde,NA,NA,518,-8007834.95530316,5681097.72945834
Soccer,NA,Université de Sherbrooke synthétique,NA,NA,519,-8007685.70604158,5680808.28576318
Soccer,NA,Bishop's College School Grant,NA,NA,520,-7997994.733967,5679998.99915338
Soccer,NA,École du Phare,NA,NA,521,-8002420.74892138,5681435.82407286
Tennis,Nombre de court(s) : 8,NA,Synthétique,Oui,522,-8014036.0233236,5679749.94685058
Football,NA,NA,NA,NA,523,-8009353.06502025,5681374.75009206
Football,NA,NA,NA,NA,524,-7997315.78117302,5679151.6709256
Soccer,Terrain à 7,André-Viger 2,Gazon naturel,Non,525,-8009377.71182098,5686401.88624711
Soccer,Terrain à 11,Arsène-Goyette 1,Gazon naturel,Non,526,-8002519.26597101,5682223.52165104
Soccer,Terrain à 9,Atto-Beaver 1,Gazon naturel,Non,527,-7998617.68819426,5680834.99841974
Soccer,NA,École Le Triolet synthétique,NA,NA,528,-8009399.17770122,5681403.62720196
Soccer,Terrain à 11 avec 4 terrains à 7 intégrés,Central 2 Synthétique,Gazon synthétique,Oui,529,-8015230.22814091,5677702.74655349
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Debonair 1,Gazon naturel,Oui,530,-8003330.33023726,5689578.4744031
Soccer,4 terrains à 5,Debonair 3,Gazon naturel,Non,531,-8003446.87456672,5689587.86215619
Soccer,Terrain à 7,Ernest-Bergeron 2,Gazon naturel,Non,532,-8009371.37584415,5698114.31364114
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Ernest-Bergeron 1,Gazon naturel,Non,533,-8009307.94486312,5698054.5615704
Soccer,Terrain à 7,Jacques-Cartier 2,Gazon naturel,Non,534,-8005887.17014929,5683972.05500004
Soccer,NA,Optimist 1,NA,NA,535,-7998499.42729467,5679466.54566281
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Jean-Claude-Quirion 1,Gazon naturel,Non,536,-8000343.77751048,5684795.15207344
Soccer,Terrain à 9,Jules-Richard 1,Gazon naturel,Oui,537,-8019393.26012764,5675973.36992115
Soccer,Terrain à 7,Marie-Médiatrice 1,Gazon naturel,Oui,538,-8009252.04250113,5682804.04341383
Soccer,Terrain à 7,Olivier-Chauveau 1,Gazon naturel,Non,539,-8012047.56535807,5682329.04470716
Soccer,Terrain à 11,Olympique synthétique 1,Gazon synthétique,Oui,540,-8001856.23717656,5686633.13792782
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Olympique 2,Gazon naturel,Oui,541,-8001805.7606592,5686408.1770624695
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Paul-Marin 2,Gazon naturel,Oui,542,-8007451.06179722,5682984.69486807
Soccer,Terrain à 9,Paul-Marin 1,Gazon naturel,Oui,543,-8007320.64184739,5682955.76425539
Soccer,Terrain à 11,Quintal 1,Gazon naturel,Oui,544,-7998457.71105703,5689643.54591385
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Quintal 2,Gazon naturel,Oui,545,-7998481.98205233,5689786.44606291
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Quintal 3,Gazon naturel,Non,546,-7998580.961769,5689485.13942955
Soccer,NA,Université Bishop's synthétique Coulter field,NA,NA,547,-7997314.50272171,5679210.24016356
Soccer,Terrain à 7,Saint-Alphonse 2A,Gazon naturel,Oui,548,-8005409.25760652,5687027.94456242
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Saint-Charles-Garnier 1,Gazon naturel,Non,549,-8010232.36171715,5686851.53487743
Soccer,6 terrains à 5,Saint-Boniface 1,Gazon naturel,Non,550,-8007929.05097523,5684573.2065178
Basketball,NA,NA,Terre battue,Oui,551,-8005748.13043663,5692929.08822897
Soccer,NA,École Le Triolet 1,NA,NA,552,-8008876.76029891,5681782.57934047
Baseball,NA,NA,Gazon naturel,Oui,553,-8004444.02790277,5682789.89205212
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,554,-8004735.6976617,5682242.43593998
Soccer,NA,École Le Triolet 2,NA,NA,555,-8008840.97212003,5682069.62542637
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,556,-8009094.85139276,5682828.56143047
Volleyball,NA,NA,Sable,Non,557,-8006852.51669922,5683828.97063125
Baseball,NA,NA,Gazon naturel,Non,558,-8001595.30702187,5688780.36671996
Volleyball,NA,NA,Sable,Non,559,-8015804.2537407,5684667.16482268
Basketball,NA,NA,Asphalte,Non,560,-8016297.52235385,5683293.6440741
Pickleball,NA,NA,Asphalte,Oui,561,-8008460.83099008,5695761.31941092
Pickleball,NA,NA,Asphalte,Oui,562,-8015801.50086177,5684600.76136026
Basketball,NA,NA,Terre battue,Oui,563,-7999736.31918072,5687302.77005933
Pickleball,NA,NA,Asphalte,Oui,564,-7999359.24955254,5679853.37704054
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,565,-8001536.59090736,5684969.04229627
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,566,-7996595.61100892,5685894.3914528
Pickleball,NA,NA,Asphalte,Oui,567,-8005514.41901298,5687121.67836661
Basketball,NA,NA,Asphalte,Oui,568,-8003221.73091381,5684243.19596351
Basketball,NA,NA,Asphalte,Non,569,-7998744.23569862,5681059.93442419
Pickleball,NA,NA,Asphalte,Oui,570,-7996482.46157681,5685758.18310119
Basketball,NA,NA,Asphalte,Non,571,-8009220.43842725,5697987.66875263
Tennis,Nombre de court(s) : 1,NA,Asphalte,Oui,572,-8017520.32935711,5670581.3409612
Pickleball,NA,NA,Asphalte,Oui,573,-8017519.54326767,5670591.95553955
Pickleball,NA,NA,Asphalte,Oui,574,-8017521.2296528,5670569.31088798
Basketball,NA,NA,Asphalte,Oui,575,-8007570.94750494,5682842.91877927
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,576,-8008952.94036612,5696293.93003961
Pickleball,NA,NA,Asphalte,Oui,577,-8007570.3396967,5682911.17699736
Pickleball,NA,NA,Asphalte,Oui,578,-8002837.8762918,5680709.62586891
Tennis,Nombre de court(s) : 2,NA,Asphalte,Oui,579,-8014711.98915362,5677659.01706249
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,580,-8014669.00900118,5677654.49692921
Pickleball,NA,NA,Asphalte,Oui,581,-8007899.69700618,5684679.810107
Pickleball,NA,NA,Asphalte,Oui,582,-8013256.25414114,5681709.49735127
Jeu modulaire,2-5 ans,NA,NA,NA,583,-8007988.86283769,5687032.77896434
Jeu modulaire,5-12 ans,NA,NA,NA,584,-8007984.31173576,5687046.64147765
Jeu modulaire,2-5 ans,NA,NA,NA,585,-7999727.03477834,5688557.74923197
Jeu modulaire,2-12 ans,NA,NA,NA,586,-8009289.34658417,5686484.57372719
Jeu modulaire,5-12 ans,NA,NA,NA,587,-7999713.74890217,5688564.11514166
Jeu modulaire,2-5 ans,NA,NA,NA,588,-8000166.6998763,5682986.74475234
Jeu modulaire,2-5 ans,NA,NA,NA,589,-8000740.58636181,5685667.07335403
Jeu modulaire,5-12 ans,NA,NA,NA,590,-8000746.32065207,5685686.22813326
Jeu modulaire,5-12 ans,NA,NA,NA,591,-8005763.19630371,5683830.97418231
Jeu modulaire,5-12 ans,NA,NA,NA,592,-8014743.3338717,5677569.23057188
Jeu modulaire,5-12 ans,NA,NA,NA,593,-8014192.04901937,5678775.20537497
Jeu modulaire,2-5 ans,NA,NA,NA,594,-8014157.71222003,5678777.89257472
Jeu modulaire,2-5 ans,NA,NA,NA,595,-8003712.3733681,5681345.49923742
Jeu modulaire,2-5 ans,NA,NA,NA,596,-8006930.53101246,5683839.2376807
Jeu modulaire,5-12 ans,NA,NA,NA,597,-8005508.99925835,5682685.40660601
Jeu modulaire,2-5 ans,NA,NA,NA,598,-8008802.89098009,5679344.64115255
Jeu modulaire,2-5 ans,NA,NA,NA,599,-8001518.64293292,5688850.76297056
Jeu modulaire,5-12 ans,NA,NA,NA,600,-8008786.41783695,5679322.30316981
Jeu modulaire,5-12 ans,NA,NA,NA,601,-8003135.67060239,5684193.43336231
Jeu modulaire,2-5 ans,NA,NA,NA,602,-8003160.14809593,5684201.08256655
Jeu modulaire,2-5 ans,NA,NA,NA,603,-8002786.1708683,5684440.13265842
Jeu modulaire,2-12 ans,NA,NA,NA,604,-8007863.43498627,5685943.43674494
Jeu modulaire,5-12 ans,NA,NA,NA,605,-8001458.44898416,5687242.80785507
Jeu modulaire,5-12 ans,NA,NA,NA,606,-8002857.43052502,5687178.99754283
Jeu modulaire,2-5 ans,NA,NA,NA,607,-8002721.44395583,5687037.11168242
Jeu modulaire,2-12 ans,NA,NA,NA,608,-7998062.85762674,5686775.71558898
Jeu modulaire,2-5 ans,NA,NA,NA,609,-7998336.31273827,5685171.37295168
Jeu modulaire,2-5 ans,NA,NA,NA,610,-7996527.19354643,5685723.32767319
