jeu_id,producteur,categorie,titre,description,nb_ressources,date_mise_a_jour,licence,date_instantane
6b8d3adf5f4a43209862aa061fdf0c8c_0,Ville de Sherbrooke - Données géomatiques,"Environnement, ressources naturelles et énergie; Loi, justice et sécurité publique",Zones potentiellement exposées aux glissements de terrain,Délimitation des zones potentiellement exposées aux glissements de terrain et des bandes de protection. Attributs : ID - Identifiant unique TYPE - Type d'entité,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
avis-grands-travaux-v3r,Ville de Trois-Rivières,Infrastructures,Avis de grands travaux,Couches des avis de grands travaux en cours et prévus faisant entrave à la circulation à la Ville de Trois-Rivières,3,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
conduites-d-eau-potable,Ville de Trois-Rivières,Infrastructures,Conduites d'eau potable,Conduites d'eau potable de la ville de Trois-Rivières.,3,2026-07-06,Attribution (CC-BY 4.0),2026-07-11
conduites-egout-v3r,Ville de Trois-Rivières,Infrastructures,Conduites d'égout,Réseau des conduites d'égout de la ville de Trois-Rivières,3,2026-07-06,Attribution (CC-BY 4.0),2026-07-11
poteaux-incendie-v3r,Ville de Trois-Rivières,Infrastructures,Poteaux d'incendie,Poteaux d'incendie de la ville de Trois-Rivières. (Bornes incendie),3,2026-07-06,Attribution (CC-BY 4.0),2026-07-11
vannes-controle-debit-v3r,Ville de Trois-Rivières,Infrastructures,Vannes de contrôle de débit,Vanne de contrôle de débit de la Ville de Trois-Rivières,3,2026-07-06,Attribution (CC-BY 4.0),2026-07-11
vanne-maintien-pression-v3r,Ville de Trois-Rivières,Infrastructures,Vannes de maintien de pression,Vannes de maintien de pression de le Villes de Trois-Rivières,3,2026-07-06,Attribution (CC-BY 4.0),2026-07-11
vanne-reduction-pression-v3r,Ville de Trois-Rivières,Infrastructures,Vannes de réduction de pression,Vannes de réduction de pression de la Ville de Trois-Rivières,3,2026-07-06,Attribution (CC-BY 4.0),2026-07-11
phase-dev-amenage-v3r,Ville de Trois-Rivières,"Loi, justice et sécurité publique",Phase de développement de l'aménagement,Couches des phases de développement de l'aménagement à la Ville de Trois-Rivières,3,2026-07-01,Attribution (CC-BY 4.0),2026-07-11
phase-dev-plan-urba-v3r,Ville de Trois-Rivières,"Loi, justice et sécurité publique",Phase de développement du plan d'urbanisme,Couches des phases de développement du plan d'urbanisme à la Ville de Trois-Rivières,3,2026-07-01,Attribution (CC-BY 4.0),2026-07-11
premier-quartier-v3r,Ville de Trois-Rivières,"Loi, justice et sécurité publique",Premier quartier,Couches des premiers quartiers à la Ville de Trois-Rivières,3,2026-07-01,Attribution (CC-BY 4.0),2026-07-11
zone-protec-aerien-v3r,Ville de Trois-Rivières,"Loi, justice et sécurité publique",Zone de protection de l'espace aérien,Couches des zones de protection de l'espace aérien à la Ville de Trois-Rivières,3,2026-07-01,Attribution (CC-BY 4.0),2026-07-11
insecte-piqueur,Ville de Trois-Rivières,Non classé,Zone de traitement des insectes piqueurs,Couches des zones de traitements des insectes piqueurs,3,2026-07-01,Attribution (CC-BY 4.0),2026-07-11
