Nom_exploitant;Raison_sociale;Description_infraction;Adresse_lieu_infraction;Type_etablissement;Information_etablissement;Date_infraction;Date_jugement;Date_publication;Amende;SOC_CD_LOI;SOC_NOM_LOI;SOC_CD_REGL;SOC_NOM_REGL;SOC_CD_ARTCL_INFRC;SOC_NOM_ARTCL_INFRC;SOC_CD_POURS;SOC_DESC_POURS;SOC_CD_REGRP_TYP_ENTT;SOC_DESC_REGRP_TYP_ENTT;
9207-0945 QUEBEC INC.;LUCILLE'S OYSTER DIVE;LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.;5669 AVENUE DE MONKLAND MONTREAL, (QC) H4A1E5;RESTAURANT;;2021-10-26 00:00;2023-06-05 00:00;2023-06-05 00:00;750 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.3               ;PERSONNEL;3;VILLE DE MONTREAL;21;RESTAURATION;
165684 CANADA INC.;MUFFIN PLUS;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;7999 BOULEVARD DES GALERIES-D'ANJOU MONTREAL, (QC) H1M1W9;RESTAURANT SERVICE RAPIDE;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2021-12-07 00:00;2023-03-13 00:00;2023-03-13 00:00;3 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
PATISSERIE SUISSE VIENNOISE (2019) INC.;PATISSERIE SUISSE VIENNOISE;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;297 BOULEVARD SAINT-JEAN POINTE-CLAIRE, (QC) H9R3J1;PATISSERIE;;2021-10-26 00:00;2023-06-05 00:00;2023-06-05 00:00;2 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
9386-7463 QUEBEC INC.;MAISON THAI;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;1351 AVENUE DU MONT-ROYAL EST MONTREAL, (QC) H2J1Y8;RESTAURANT;;2021-11-01 00:00;2023-02-13 00:00;2023-02-13 00:00;1 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
9310-4024 QUEBEC INC.;SUPER MARCHE MADINA;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;17 RUE ONTARIO EST MONTREAL, (QC) H2X1G8;EPICERIE/BOUCHERIE;;2021-11-05 00:00;2023-03-09 00:00;2023-03-09 00:00;2 200 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
2844087 CANADA INC.;L'EURO-MARCHE ST-MICHEL;EST PROHIBEE TOUTE TROMPERIE OU TENTATIVE DE TROMPERIE, TOUTE DECLARATION OU INDICATION FAUSSE, INEXACTE OU TROMPEUSE, SOUS QUELQUE FORME ET PAR QUELQUE MOYEN QUE CE SOIT: A) SUR LA NATURE, L'ETAT, LA COMPOSITION, L'IDENTITE, LA PROVENANCE, L'ORIGINE, L'UTILISATION, LA DESTINATION, LA QUALITE, LA QUANTITE, LA VALEUR, LE PRIX OU UNE PARTICULARITE DU PRODUIT:  B) SUR LE LIEU, LA DATE OU LES PROCEDES DE PREPARATION, FABRICATION, CONSERVATION OU CONDITIONNEMENT DU PRODUIT: C) SUR LE MODE D'EMPLOI OU DE CONSERVATION DU PRODUIT: D)  SUR L'IDENTITE, LES QUALITES OU APTITUDES DU PRODUCTEUR, PREPARATEUR, FABRICANT, CONSERVEUR, CONDITIONNEUR, DISTRIBUTEUR OU DE L'AGENT DE VENTE OU DE LIVRAISON DU PRODUIT.;10181 BOULEVARD SAINT-MICHEL MONTREAL, (QC) H1H5G9;EPICERIE/BOUCHERIE;;2021-11-08 00:00;2023-05-01 00:00;2023-05-01 00:00;3 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.5.1               ;PROHIBITION DE TROMPER;3;VILLE DE MONTREAL;20;DÉTAIL;
7654472 CANADA INC.;VIANDES MEHADRIN;LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.;387 RUE BERNARD OUEST MONTREAL, (QC) H2V1T6;EPICERIE/BOUCHERIE;;2021-11-09 00:00;2023-03-13 00:00;2023-03-13 00:00;2 250 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;20;DÉTAIL;
LE PETIT SAO VM INC.;LE PETIT SAO;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;237 RUE NOTRE-DAME OUEST MONTREAL, (QC) H2Y1T4;RESTAURANT;;2024-07-04 00:00;2024-09-06 00:00;2024-09-06 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
9348-1406 QUEBEC INC.;SECOND CUP LOYOLA;LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.;7345 RUE SHERBROOKE OUEST MONTREAL, (QC) H4B1R9;RESTAURANT;;2024-09-12 00:00;2024-10-16 00:00;2024-10-16 00:00;500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.3               ;PERSONNEL;3;VILLE DE MONTREAL;21;RESTAURATION;
9348-1406 QUEBEC INC.;SECOND CUP LOYOLA;IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.;7345 RUE SHERBROOKE OUEST MONTREAL, (QC) H4B1R9;RESTAURANT;;2024-09-12 00:00;2024-10-16 00:00;2024-10-16 00:00;400 $ ;C-19;;r.1            ;;3;;3;VILLE DE MONTREAL;21;RESTAURATION;
9403-3206 QUEBEC INC.;BOULANGERIE MONTREAL CASHER;IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.;2135 RUE SAINT-LOUIS MONTREAL, (QC) H4M1P1;EPICERIE/BOUCHERIE;;2024-05-23 00:00;2024-06-11 00:00;2024-06-11 00:00;400 $ ;C-19;;r.1            ;;3;;3;VILLE DE MONTREAL;20;DÉTAIL;
9356-7238 QUEBEC INC.;RESTAURANT LE BEAUJOLAIS;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;1231 MONTEE DE LIESSE MONTREAL, (QC) H4S1J7;RESTAURANT;;2024-06-06 00:00;2024-12-20 00:00;2024-12-20 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
LES ALIMENTS ESPOSITO LTEE;LE MARCHE ESPOSITO (MARCEL-LAURIN);IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.;340 BOULEVARD MARCEL-LAURIN MONTREAL, (QC) H4M2L4;EPICERIE/BOUCHERIE;;2024-09-20 00:00;2024-10-22 00:00;2024-10-22 00:00;400 $ ;C-19;;r.1            ;;3;;3;VILLE DE MONTREAL;20;DÉTAIL;
9488-6553 QUEBEC INC.;KOVEST RESTO;IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.;5158 BOULEVARD HENRI-BOURASSA EST MONTREAL, (QC) H1G2S6;RESTAURANT;;2024-05-30 00:00;2024-11-29 00:00;2024-11-29 00:00;400 $ ;C-19;;r.1            ;;3;;3;VILLE DE MONTREAL;21;RESTAURATION;
9309-0348 QUEBEC INC.;BOULANGERIE & PATISSERIE AMIENS;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;4902 RUE D' AMIENS MONTREAL, (QC) H1G3E7;AUTRE;;2024-08-05 00:00;2024-08-26 00:00;2024-08-26 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;99;GENERALE;
9484-4024 QUEBEC INC.;HIATUS ( LOCAL DE PREPARATION);LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.;1 PLACE VILLE-MARIE 11469 MONTREAL, (QC) H3B3Y1;LOCAL PREPARATION D'ALIMENTS;;2024-10-03 00:00;2025-01-22 00:00;2025-01-22 00:00;500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.3               ;PERSONNEL;3;VILLE DE MONTREAL;20;DÉTAIL;
9393-0469 QUEBEC INC.;LA FRITERIE DU COIN;IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.;11561 RUE NOTRE-DAME EST MONTREAL, (QC) H1B2X3;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2024-05-30 00:00;2024-12-20 00:00;2024-12-20 00:00;400 $ ;C-19;;r.1            ;;3;;3;VILLE DE MONTREAL;21;RESTAURATION;
BOUCHERIE CHAUMONT INC.;BOUCHERIE CHAUMONT INC.;LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.;8647 AVENUE CHAUMONT MONTREAL, (QC) H1K1N4;BOUCHERIE;;2024-07-31 00:00;2024-08-08 00:00;2024-08-08 00:00;500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.3               ;PERSONNEL;3;VILLE DE MONTREAL;20;DÉTAIL;
9503-1563 QUEBEC INC.;PIZZA ELITE;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;11980 RUE SHERBROOKE EST MONTREAL, (QC) H1V1C5;RESTAURANT;;2024-08-02 00:00;2024-10-02 00:00;2024-10-02 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
9470-8476 QUEBEC INC.;MAI XIANG YUAN;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;1929 RUE SAINTE-CATHERINE OUEST MONTREAL, (QC) H3H1M3;RESTAURANT;;2024-05-23 00:00;2024-12-18 00:00;2024-12-18 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
9009574 CANADA INC.;BURGER FIANCE;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;417 RUE NOTRE-DAME OUEST MONTREAL, (QC) H2Y1V2;RESTAURANT;;2024-05-29 00:00;2024-12-18 00:00;2024-12-18 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
LES ALIMENTS GG INC.;SUBWAY (MONT-ROYAL);IL EST INTERDIT DANS UN ETABLISSEMENT DE DISTRIBUER SUR PLACE, POUR EMPORTER OU PAR LIVRAISON, LES ARTICLES A USAGE UNIQUE SUIVANTS: BARQUETTE #6, ASSIETTE #6, CONTENANT ET COUVERCLE #6, COUVERCLE DE TASSE OU VERRE #6, TASSE OU VERRE, BATONNET, PAILLE, USTENSILE #1, #2, ,3, #4, #5, #6.;1350 AVENUE DU MONT-ROYAL EST MONTREAL, (QC) H2J1Y7;RESTAURANT SERVICE RAPIDE;;2024-06-03 00:00;2025-01-24 00:00;2025-01-24 00:00;400 $ ;C-19;;r.1            ;;3;;3;VILLE DE MONTREAL;21;RESTAURATION;
14804236 CANADA INC.;RESTAURANT KHAO PEEYO;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;3704 RUE NOTRE-DAME OUEST MONTREAL, (QC) H4C1P7;RESTAURANT;;2024-05-23 00:00;2024-12-18 00:00;2024-12-18 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
9384-6327 QUEBEC INC.;TRAITEUR LUCILLE'S (PLAQUE L-898630);LE LIEU OU LE VEHICULE DOIT ETRE AERE, VENTILE ET DISPOSER: D'EAU POTABLE COURANTE CHAUDE ET FROIDE:  D'UN APPAREIL DISTRIBUTEUR DE SAVON LIQUIDE OU EN POUDRE. LA TEMPERATURE DE L'EAU CHAUDE DOIT ETRE D'AU MOINS 60?C. LE LOCAL, L'AIRE OU LE VEHICULE UTILISE POUR LA PREPARATION DES PRODUITS DOIT, EN PLUS, DISPOSER D'UN EVIER, DE SERVIETTES INDIVIDUELLES JETABLES ET ETRE MUNI D'UN SYSTEME DE RECUPERATION OU D'EVACUATION DES EAUX USEES.;171 RUE SAINT-JACQUES MONTREAL, (QC) H8R1E3;CAMION CUISINE;;2024-06-08 00:00;2024-06-21 00:00;2024-06-21 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.3               ;EXIGENCES LIEU OU VEHICULES;3;VILLE DE MONTREAL;21;RESTAURATION;
9095675 CANADA INC.;LE FOURNIL;TOUT PRODUIT CONDITIONNE EN VUE DE LA VENTE DOIT PORTER, EN CARACTERES INDELEBILES, TRES LISIBLES ET APPARENTS, SUR LE RECIPIENT, L'EMBALLAGE OU L'ENVELOPPE QUI LE CONTIENT LES INSCRIPTIONS NECESSAIRES POUR REVELER LA NATURE, L'ETAT, LA COMPOSITION, L'UTILISATION, LA QUANTITE EXACTE, L'ORIGINE ET TOUTE PARTICULARITE DU PRODUIT: LES NOM ET ADRESSE DU FABRICANT, PREPARATEUR, CONDITIONNEUR, EMBALLEUR, FOURNISSEUR OU DISTRIBUTEUR: LE LIEU DE FABRICATION, PREPARATION OU CONDITIONNEMENT DU PRODUIT. L'ENUMERATION DES COMPOSANTS DOIT FIGURER PAR ORDRE D'IMPORTANCE DECROISSANT. L'INDICATION DE POIDS DOIT TENIR COMPTE DE LA PERTE QUE PEUT NORMALEMENT SUBIR LE PRODUIT APRES SON CONDITIONNEMENT ET ETRE EXPRIMEE EN POIDS NET.;4910 RUE SHERBROOKE OUEST WESTMOUNT, (QC) H3Z1H2;BOULANGERIE/PATISSERIE DE DEPOT;;2024-08-19 00:00;2024-12-11 00:00;2024-12-11 00:00;500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;3.3.3               ;INSCRIPTION OBLIGATOIRE;3;VILLE DE MONTREAL;20;DÉTAIL;
9319-4322 QUEBEC INC.;BREWSKEY BOUTIQUE;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;350 RUE SAINT-PAUL EST MONTREAL, (QC) H2Y1H2;RESTAURANT;;2024-05-03 00:00;2024-05-14 00:00;2024-05-14 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
9424-9935 QUEBEC INC.;5 SENSES;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;292 RUE SAINTE-CATHERINE OUEST MONTREAL, (QC) H2X2A1;RESTAURANT;;2024-05-22 00:00;2024-12-18 00:00;2024-12-18 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
9411-8510 QUEBEC INC.;CAFE TOMMY;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;200 RUE NOTRE-DAME OUEST MONTREAL, (QC) H2Y1T3;RESTAURANT;;2024-05-29 00:00;2025-01-31 00:00;2025-01-31 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
9106-4287 QUEBEC INC.;LA GRANDE TERRASSE JACQUES-CARTIER;LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.;321 PLACE JACQUES-CARTIER MONTREAL, (QC) H2Y3A9;RESTAURANT;;2024-06-06 00:00;2024-07-11 00:00;2024-07-11 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
9204-1573 QUEBEC INC.;FRITE ALORS!;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;1710 RUE SAINT-DENIS MONTREAL, (QC) H2X3K6;RESTAURANT;;2024-08-01 00:00;2024-09-09 00:00;2024-09-09 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
AMARA AHUNTSIC INC.;AMARA AHUNTSIC;LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.;795 RUE LEGENDRE EST MONTREAL, (QC) H2M1H1;RESTAURANT;;2024-04-29 00:00;2024-12-18 00:00;2024-12-18 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;21;RESTAURATION;
3104-2153 QUEBEC INC.;GARDERIE LES ENFANTS DU 21 SIECLE;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;8751 8E AVENUE 100 MONTREAL, (QC) H1Z4G5;GARDERIE;;2024-08-08 00:00;2024-08-29 00:00;2024-08-29 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
