periode,categorie_produit,motif,secteur,ville_siege_social
2026-07,15050-Services liés aux sports  aux loisirs  à la culture et au conditionnement physique,Mésentente liée au contrat conclu,Autres services d'enseignement//Autres clubs sportifs et services de loisirs,NA
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Autres industries de produits électriques,Blainville
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,NA
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Sociétés de financement des ventes,Toronto
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Autres services,Saint-Eustache
2026-07,10020-Vêtements  bijoux et accessoires,Pratique trompeuse ou déloyale,Autres types de commerce de détail,Val-des-Lacs
2026-07,10020-Vêtements  bijoux et accessoires,Qualité des biens et services,NA,NA
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Qualité des biens et services,Industrie de la production d'aluminium de première fusion,Victoriaville
2026-07,15010-Hôtels et autres hébergements touristiques,Service à la clientèle / Absence de livraison / Non conformité,Grossistes et commerçants en voyage,Toronto
2026-07,18010-Enseignement académique et formation continue,Problème de facturation ou de recouvrement de créance,Bureaux de placement//Enseignement de formation personnelle et populaire,Montréal
2026-07,10020-Vêtements  bijoux et accessoires,Pratique trompeuse ou déloyale,Camionnage de marchandises ordinaires//Déménagement et entreposage de biens usagés,Montréal
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Services de conciergerie et d'entretien,Laval
2026-07,10020-Vêtements  bijoux et accessoires,Pratique trompeuse ou déloyale,Bijouteries,Laval
2026-07,17030-Dispositifs médicaux et autre appareillage,Autre,NA,NA
2026-07,14010-Transport aérien,Pratique trompeuse ou déloyale,NA,NA
2026-07,10020-Vêtements  bijoux et accessoires,Problème de facturation ou de recouvrement de créance,Autres types de commerce de détail,Cambridge
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Autres services relatifs aux bâtiments et aux habitations,Trois-Rivières
2026-07,15020-Voyages à forfait,Pratique trompeuse ou déloyale,Agences de voyages et de vente de billets,Montréal
2026-07,15050-Services liés aux sports  aux loisirs  à la culture et au conditionnement physique,Pratique trompeuse ou déloyale,Autres clubs sportifs et services de loisirs,Gatineau
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves,Laval
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,13060-Forfait de services de communication,Mésentente liée au contrat conclu,Réseaux de téléphonie//Autres services de télécommunications,Verdun
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants avec permis d'alcool,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail d'appareils ménagers  de téléviseurs  de,Laval
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Lévis
2026-07,10180-Produits cosmétiques  articles de toilette et appareils pour soins corporels,Service à la clientèle / Absence de livraison / Non conformité,Autres services de soins personnels,Rosemère
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Concessionnaires d'automobiles d'occasion,Saint-Constant
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Industrie des véhicules automobiles//Commerce de gros d'automobiles,MARKHAM (ONTARIO)
2026-07,99000-Autres (précisez),Mésentente avant l’achat liée au prix / au tarif,Camionnage de marchandises ordinaires,Laval
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Laval
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Ateliers de réparation d'appareils ménagers,Longueuil (Québec)
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Québec
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail d'appareils ménagers  de téléviseurs  de//Ateliers de réparation d'appareils ménagers,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Travaux d'isolation//Installation d'isolation thermique,Québec
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Mésentente liée au contrat conclu,Entreprises de vente directe,grand mere
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Autre,Travaux d'asphaltage,Montréal
2026-07,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,MASCOUCHE (QUÉBEC)
2026-07,11030-Déménagement  entreposage et livraison,Problème de facturation ou de recouvrement de créance,Camionnage de marchandises ordinaires//Déménagement et entreposage de biens usagés,Québec
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Qualité des biens et services,Ateliers de réparation et de remplacement de boîtes de vites,Montréal
2026-07,15020-Voyages à forfait,Service à la clientèle / Absence de livraison / Non conformité,Autres services aux entreprises,Vancouver
2026-07,13030-Services de téléphonie mobile,Pratique trompeuse ou déloyale,Autres services de télécommunications,Verdun
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Commerce de gros d'automobiles//Garages (réparations générales),Vaudreuil-Dorion
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Industrie des portes et fenêtres en métal,Montréal
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail de téléviseurs  de postes de radio et d'a,MISSISSAUGA (ONTARIO)
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Service à la clientèle / Absence de livraison / Non conformité,Rénovation de bâtiments résidentiels//Installation de la verrerie et de la vitrerie,Saint-Eustache
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Garages (réparations générales),Gatineau
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Garages (réparations générales),Mirabel
2026-07,11050-Soins corporels et d’esthétique,Mésentente liée au contrat conclu,Autres services de soins personnels,Québec
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail,Trois-Rivières
2026-07,11120-Services de garde,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Industrie des véhicules automobiles//Commerce de gros d'automobiles,MARKHAM (ONTARIO)
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Qualité des biens et services,Magasins généraux//Exploitants de bâtiments non résidentiels,OTTAWA (ONTARIO)
2026-07,13040-Services Internet,Problème de facturation ou de recouvrement de créance,Câblovision,Montréal
2026-07,10080-Petits appareils électroménagers,Qualité des biens et services,Autres types de commerce de détail,Albanel
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion//Garages (réparations générales),Sherbrooke
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur//Travaux d'électricité,Laval
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,NA,NA
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Mtl Nord
2026-07,15010-Hôtels et autres hébergements touristiques,Pratique trompeuse ou déloyale,Hôtels et auberges routières,Québec
2026-07,10090-Articles électroniques,Pratique trompeuse ou déloyale,Commerce de gros de machines  matériel et fournitures de bur//Autres types de commerce de gros de machines  matériel et fo,Vancouver
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména,Montreal
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,13030-Services de téléphonie mobile,Service à la clientèle / Absence de livraison / Non conformité,Autres services de télécommunications//Autres services aux entreprises,Vancouver
2026-07,14040-Services de location d’un transport à court terme,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Entrepôts frigorifiques//Autres types de commerce de gros de produits alimentaires,Montréal
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres services,Burlington
2026-07,13060-Forfait de services de communication,Service à la clientèle / Absence de livraison / Non conformité,Réseaux de téléphonie//Autres services de télécommunications,Verdun
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Magasins à rayons,SAINT-JEAN-SUR-RICHELIEU
2026-07,10060-Gros appareils ménagers,Problème de facturation ou de recouvrement de créance,Autres camionnages//Commerce de détail d'appareils ménagers  de téléviseurs  de,Québec
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Problème de facturation ou de recouvrement de créance,Commerces de détail de pièces et d'accessoires pour véhicule,Laval
2026-07,11040-Entretien ménager,Service à la clientèle / Absence de livraison / Non conformité,Services de désinfection et d'extermination,Montréal
2026-07,13060-Forfait de services de communication,Service à la clientèle / Absence de livraison / Non conformité,Travaux de peinture et de décoration//Ménages,Lavaltrie
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Montréal
2026-07,11010-Services immobiliers,Pratique trompeuse ou déloyale,Promotion et construction de maisons individuelles//Promotion et construction d'autres types de constructions ré,Dolbeau-Mistassini
2026-07,18010-Enseignement académique et formation continue,Mésentente liée au contrat conclu,Autres services,Boucherville
2026-07,17040-Services liés à la santé,Pratique trompeuse ou déloyale,Services de maintien à domicile//Autres services,Montréal
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Autres types de commerce de détail//Entreprises de vente directe,Saint-Sauveur
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Concessionnaires d'automobiles neuves,Sherbrooke
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Problème de facturation ou de recouvrement de créance,Services de désinfection et d'extermination//Autres services relatifs aux bâtiments et aux habitations,Montréal
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants sans permis d'alcool,Brossard
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,Supermarchés d'alimentation//Stations-service,Saint-Eustache
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détails de pneus  d'accumulateurs  de pièces et//Garages (réparations générales),Lavaltrie
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Mésentente avant l’achat liée au prix / au tarif,Autres types de commerce de gros,Saint-Augustin-de-Desmaures
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10120-Automobiles neuves,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Levis
2026-07,10090-Articles électroniques,Qualité des biens et services,Services d'informatique,Toronto
2026-07,10120-Automobiles neuves,Qualité des biens et services,Concessionnaires d'automobiles neuves,Laval
2026-07,15020-Voyages à forfait,Service à la clientèle / Absence de livraison / Non conformité,Agences de voyages et de vente de billets,Terrebonne
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur,Montréal
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Mésentente liée au contrat conclu,Industrie des carrosseries de camions et d'autobus//Concessionnaires d'automobiles neuves,Joliette
2026-07,13030-Services de téléphonie mobile,Service à la clientèle / Absence de livraison / Non conformité,Autres services de télécommunications,Verdun
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres types de commerce de machines  matériel et fourniture,Mississauga
2026-07,15020-Voyages à forfait,Pratique trompeuse ou déloyale,Agences de voyages et de vente de billets,Baie-Saint-Paul
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Service à la clientèle / Absence de livraison / Non conformité,Autres services,Québec
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Concessionnaires d'automobiles neuves,Trois-Rivières
2026-07,10110-Articles de loisirs,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail,Laval
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Saint-Eustache
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,10010-Aliments/Boissons/Tabac,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de gros de produits alimentaires//Supermarchés d'alimentation,TORONTO
2026-07,10100-Articles des TIC (Technologies de l'information et de la communication),Qualité des biens et services,NA,NA
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Commerce de gros d'appareils ménagers électriques//Commerce de détail de meubles de maison (avec appareils ména,St-Roch-de-l'Achigan
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros d'appareils ménagers électriques,Pointe-Claire
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Autres intermédiaires de type bancaire//Autres sociétés de financement des entreprises,Halifax
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Saint-Constant
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Rénovation de bâtiments résidentiels,Mascouche
2026-07,10150-Pièces de rechange  accessoires et carburants pour moyens de transports,Problème de facturation ou de recouvrement de créance,Épiceries (sauf supermarchés),Sherbrooke
2026-07,12010-Prêt d'argent,Mésentente liée au contrat conclu,Sociétés de prêts à la consommation//Sociétés de crédit-bail,Granby
2026-07,14040-Services de location d’un transport à court terme,Mésentente liée au contrat conclu,Agences de voyages et de vente de billets//Grossistes et commerçants en voyage,Toronto
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Installation de systèmes de chauffage par fluide caloporteur//Travaux d'électricité,Laval
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Autres services aux entreprises,Boisbriand
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Mésentente liée au contrat conclu,Installation de systèmes de chauffage par fluide caloporteur,Terrebonne
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Commerce de gros d'automobiles,NA
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Parcs et garages de stationnement,Vimont
2026-07,15020-Voyages à forfait,Service à la clientèle / Absence de livraison / Non conformité,Agences de voyages et de vente de billets,Québec
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Sherbrooke
2026-07,10130-Automobiles d'occasion,Problème de facturation ou de recouvrement de créance,Concessionnaires d'automobiles d'occasion//Services de location d'automobiles et de camions,Saint-Jérôme
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Mirabel
2026-07,10020-Vêtements  bijoux et accessoires,Pratique trompeuse ou déloyale,NA,NA
2026-07,15040-Restaurants et bars,Service à la clientèle / Absence de livraison / Non conformité,Restaurants sans permis d'alcool,Granby
2026-07,14010-Transport aérien,Service à la clientèle / Absence de livraison / Non conformité,Grossistes et commerçants en voyage,Toronto
2026-07,15050-Services liés aux sports  aux loisirs  à la culture et au conditionnement physique,Mésentente liée au contrat conclu,Autres services personnels et domestiques,Montréal
2026-07,10010-Aliments/Boissons/Tabac,Pratique trompeuse ou déloyale,NA,Saint-Nazaire-D'Acton
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion//Autres services,Trois-Rivières
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres services,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Autres industries de produits électriques,Anjou
2026-07,12010-Prêt d'argent,Pratique trompeuse ou déloyale,Sociétés de crédit-bail,Burnaby  British-Columbia
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres types de commerce de détail,Edmonton
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Thurso
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Québec
2026-07,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Concessionnaires d'automobiles d'occasion,STE EUSTACHE
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména,Montreal
2026-07,10040-Meubles,Mésentente avant l’achat liée au prix / au tarif,Autres types de commerce de détail d'accessoires d'ameubleme,Montréal
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Promotion et construction de maisons individuelles//Rénovation de bâtiments résidentiels,Shannon
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves,Mont-Laurier
2026-07,10010-Aliments/Boissons/Tabac,Mésentente liée au contrat conclu,Entrepôts frigorifiques//Autres types de commerce de gros de produits alimentaires,Montréal
2026-07,13060-Forfait de services de communication,Pratique trompeuse ou déloyale,Câblovision,Montréal
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Montréal
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres types de commerce de machines  matériel et fourniture,North York
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Longueuil
2026-07,10080-Petits appareils électroménagers,Problème de facturation ou de recouvrement de créance,Sociétés d'investissement,Mississauga
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Garages (réparations générales),Gatineau
2026-07,13040-Services Internet,Problème de facturation ou de recouvrement de créance,Autres services,Toronto
2026-07,14040-Services de location d’un transport à court terme,Pratique trompeuse ou déloyale,Agences de voyages et de vente de billets//Grossistes et commerçants en voyage,Toronto
2026-07,10120-Automobiles neuves,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Autres ateliers de réparation de véhicules automobiles,Boucherville
2026-07,15040-Restaurants et bars,Pratique trompeuse ou déloyale,Restaurants avec permis d'alcool,Laval
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles neuves//Garages (réparations générales),Salaberry-de-Valleyfield
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Laval
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Qualité des biens et services,Commerce de détail de vêtements pour enfants//Autres types de commerce de détail d'accessoires d'ameubleme,Québec
2026-07,12090-Recouvrement de créances,Problème de facturation ou de recouvrement de créance,Parcs et garages de stationnement,Vimont
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,NA,NA
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Autres services relatifs aux bâtiments et aux habitations,Nepean
2026-07,10140-Autres moyens de transport,Pratique trompeuse ou déloyale,Autres types de commerce de gros de véhicules automobiles//Garages (réparations générales),Drummondville
2026-07,11090-Entretien et réparation de biens (autres qu'un véhicule),Service à la clientèle / Absence de livraison / Non conformité,Nettoyage de moquettes,Blainville
2026-07,12010-Prêt d'argent,Problème de facturation ou de recouvrement de créance,NA,NA
2026-07,10090-Articles électroniques,Qualité des biens et services,Commerce de détail de meubles de maison (avec appareils ména,Montreal
2026-07,10110-Articles de loisirs,Service à la clientèle / Absence de livraison / Non conformité,Autres travaux spécialisés//Autres types de commerce de détail,MIRABEL (QUÉBEC)
2026-07,10140-Autres moyens de transport,Qualité des biens et services,Industrie des véhicules automobiles//Commerce de gros d'automobiles,MARKHAM (ONTARIO)
2026-07,13060-Forfait de services de communication,Service à la clientèle / Absence de livraison / Non conformité,Câblovision,Montréal
2026-07,10070-Appareils de chauffage et de climatisation,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros de matériel et fournitures de plomberie  de,FERGUS (ONTARIO)
2026-07,15040-Restaurants et bars,Service à la clientèle / Absence de livraison / Non conformité,Autres services aux entreprises,Toronto
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Saint-Ambroise-de-Kildare
2026-07,13040-Services Internet,Mésentente liée au contrat conclu,Réseaux de téléphonie//Autres services de télécommunications,Verdun
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Salaberry-de-Valleyfield
2026-07,11050-Soins corporels et d’esthétique,Service à la clientèle / Absence de livraison / Non conformité,Autres services de soins personnels,saint basile le grand
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Autres services,Saint-Eustache
2026-07,11030-Déménagement  entreposage et livraison,Pratique trompeuse ou déloyale,Déménagement et entreposage de biens usagés,Brossard
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail,Edmonton
2026-07,10130-Automobiles d'occasion,Pratique trompeuse ou déloyale,Concessionnaires d'automobiles d'occasion,Sherbrooke
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Garages (réparations générales),Laval
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion//Autres services,Saint-Eustache
2026-07,10080-Petits appareils électroménagers,Qualité des biens et services,Autres types de commerce de machines  matériel et fourniture,North York
2026-07,13070-Services de télésurveillance,Problème de facturation ou de recouvrement de créance,Services de sécurité et d'enquêtes,Toronto
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Laval
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Services de nettoyage de vitres,Gatineau
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles d'occasion,Montréal
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,MIRABEL (QUÉBEC)
2026-07,10120-Automobiles neuves,Service à la clientèle / Absence de livraison / Non conformité,Commerce de gros d'automobiles//Services de location d'automobiles et de camions,Longueuil
2026-07,11050-Soins corporels et d’esthétique,Pratique trompeuse ou déloyale,Sociétés de portefeuille (holdings)//Autres services de soins personnels,Montréal
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Pratique trompeuse ou déloyale,Travaux d'asphaltage//Autres services relatifs aux bâtiments et aux habitations,Québec
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de gros,Trois-Rivières
2026-07,10080-Petits appareils électroménagers,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de meubles de maison (avec appareils ména,Montreal
2026-07,10120-Automobiles neuves,Qualité des biens et services,Concessionnaires d'automobiles neuves//Garages (réparations générales),Trois-Rivières
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Autres types de commerce de détail,Edmonton
2026-07,10110-Articles de loisirs,Pratique trompeuse ou déloyale,Sociétés de portefeuille (holdings),Québec
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Autres types de commerce de machines  matériel et fourniture,North York
2026-07,10040-Meubles,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de meubles de maison (avec appareils ména//Autres services,Victoriaville
2026-07,10070-Appareils de chauffage et de climatisation,Pratique trompeuse ou déloyale,NA,NA
2026-07,10060-Gros appareils ménagers,Qualité des biens et services,Magasins d'appareils ménagers  de téléviseurs et d'autres ap,Montréal
2026-07,13030-Services de téléphonie mobile,Pratique trompeuse ou déloyale,Autres services de télécommunications,Verdun
2026-07,10020-Vêtements  bijoux et accessoires,Qualité des biens et services,Autres services,Toronto
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Mésentente liée au contrat conclu,Concessionnaires d'automobiles neuves,Sherbrooke
2026-07,10130-Automobiles d'occasion,Service à la clientèle / Absence de livraison / Non conformité,Autres sociétés d'assurance biens et risques divers,Saint-Hubert
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Qualité des biens et services,Garages (réparations générales),Longueuil
2026-07,14010-Transport aérien,Pratique trompeuse ou déloyale,Agences de voyages et de vente de billets,Trois-Rivières
2026-07,10140-Autres moyens de transport,Mésentente avant l’achat liée au prix / au tarif,Commerce de détail de motocyclettes et de motoneiges,Sherbrooke
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Sainte-Agathe-des-Monts
2026-07,13060-Forfait de services de communication,Mésentente liée au contrat conclu,Réseaux de téléphonie//Autres services de télécommunications,Verdun
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Sherbrooke
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Commerce de gros d'automobiles//Autres types de commerce de détail pour véhicules automobile,Mirabel
2026-07,11090-Entretien et réparation de biens (autres qu'un véhicule),Autre,Commerce de détail de bicyclettes,Gatineau
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Commerce de gros de matériel et fournitures de plomberie  de,Boucherville
2026-07,11080-Entretien et réparation de véhicules et autres moyens de transport,Qualité des biens et services,Sociétés d'investissement,Lac-Beauport
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Québec
2026-07,13030-Services de téléphonie mobile,Problème de facturation ou de recouvrement de créance,Autres services,Toronto
2026-07,10030-Outils  matériaux  articles d'entretien et végétaux,Service à la clientèle / Absence de livraison / Non conformité,NA,NA
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves,Québec
2026-07,14020-Transport en commun  routier  ferroviaire et maritime,Service à la clientèle / Absence de livraison / Non conformité,Autres services aux entreprises,Toronto
2026-07,10070-Appareils de chauffage et de climatisation,Qualité des biens et services,Autres services,Burlington
2026-07,10130-Automobiles d'occasion,Mésentente liée au contrat conclu,Services de location d'automobiles et de camions,Farnham
2026-07,11010-Services immobiliers,Pratique trompeuse ou déloyale,Pourvoyeurs de chasse et de pêche,St-Urbain-de-Charlevoix
2026-07,11020-Services liés à la construction  l'entretien et à la rénovation de l'habitation,Service à la clientèle / Absence de livraison / Non conformité,Travaux de peinture et de décoration,Markham
2026-07,10020-Vêtements  bijoux et accessoires,Service à la clientèle / Absence de livraison / Non conformité,Bijouteries,Longueuil
2026-07,10060-Gros appareils ménagers,Service à la clientèle / Absence de livraison / Non conformité,Commerce de détail de téléviseurs  de postes de radio et d'a,MISSISSAUGA (ONTARIO)
2026-07,10130-Automobiles d'occasion,Qualité des biens et services,Concessionnaires d'automobiles neuves//Concessionnaires d'automobiles d'occasion,Levis
2026-07,17030-Dispositifs médicaux et autre appareillage,Qualité des biens et services,Commerce de gros de machines  matériel et fournitures d'usag//Autres services personnels et domestiques,Montréal
